products_name,Date,Time
Echo Dot (3rd Gen),"Sunday, May 14, 2023",9:23:45 AM
Fire TV Stick 4K,"Tuesday, March 21, 2023",2:12:34 PM
Kindle Paperwhite,"Tuesday, November 7, 2023",8:15:27 AM
Instant Pot Duo,"Wednesday, July 19, 2023",10:44:56 AM
Apple AirPods,"Saturday, September 2, 2023",11:23:12 AM
Ninja Blender,"Thursday, January 12, 2023",6:45:33 AM
Fitbit Charge 4,"Friday, June 30, 2023",1:34:45 PM
Ring Video Doorbell,"Saturday, February 25, 2023",3:22:18 PM
iRobot Roomba 675,"Friday, April 14, 2023",9:45:00 AM
Samsung Galaxy Buds,"Friday, December 1, 2023",7:33:21 AM
Bose QuietComfort 35 II,"Thursday, October 5, 2023",4:17:49 PM
Anker PowerCore,"Friday, July 21, 2023",12:24:34 PM
Sony WH-1000XM4,"Thursday, March 9, 2023",2:15:20 PM
Apple iPad Mini,"Sunday, September 17, 2023",11:55:47 AM
HP Envy Printer,"Monday, February 13, 2023",10:38:09 AM
Tile Mate,"Saturday, May 20, 2023",1:22:31 PM
Instant Pot Duo,"Thursday, June 15, 2023",8:11:22 AM
Samsung Galaxy Buds,"Monday, January 30, 2023",5:45:53 PM
Anker PowerCore,"Friday, August 11, 2023",6:33:44 AM
Fire TV Stick 4K,"Saturday, March 25, 2023",8:19:38 PM
Apple AirPods,"Monday, April 10, 2023",11:12:21 AM
Sony WH-1000XM4,"Wednesday, July 5, 2023",2:13:55 PM
Fitbit Charge 4,"Wednesday, February 22, 2023",4:48:37 PM
Echo Dot (3rd Gen),"Wednesday, November 15, 2023",6:29:41 PM
Ninja Blender,"Monday, January 2, 2023",12:09:28 PM
iRobot Roomba 675,"Sunday, March 19, 2023",9:40:17 AM
HP Envy Printer,"Thursday, May 25, 2023",10:51:26 PM
Kindle Paperwhite,"Thursday, October 12, 2023",7:38:30 PM
Ring Video Doorbell,"Sunday, June 4, 2023",11:12:44 PM
Apple iPad Mini,"Monday, August 21, 2023",7:17:51 AM
Echo Dot (3rd Gen),"Thursday, September 14, 2023",3:21:30 PM
Fire TV Stick 4K,"Saturday, February 18, 2023",4:12:28 PM
Samsung Galaxy Buds,"Friday, July 28, 2023",6:09:45 PM
Fitbit Charge 4,"Thursday, May 11, 2023",8:55:30 PM
Anker PowerCore,"Sunday, January 29, 2023",8:10:15 AM
Bose QuietComfort 35 II,"Saturday, March 4, 2023",9:19:27 PM
Apple AirPods,"Saturday, October 21, 2023",1:18:05 PM
Ring Video Doorbell,"Sunday, June 18, 2023",5:10:29 PM
Sony WH-1000XM4,"Sunday, April 23, 2023",2:12:45 PM
HP Envy Printer,"Thursday, September 7, 2023",7:15:36 PM
Tile Mate,"Friday, November 3, 2023",9:18:27 AM
Ninja Blender,"Monday, August 14, 2023",4:12:39 PM
iRobot Roomba 675,"Sunday, February 5, 2023",6:22:45 PM
Fire TV Stick 4K,"Wednesday, July 19, 2023",8:14:37 PM
Apple iPad Mini,"Monday, October 9, 2023",12:19:18 PM
Kindle Paperwhite,"Sunday, January 22, 2023",3:13:45 PM
Samsung Galaxy Buds,"Saturday, April 15, 2023",2:19:30 PM
Bose QuietComfort 35 II,"Wednesday, May 31, 2023",1:45:10 PM
Tile Mate,"Monday, March 27, 2023",9:10:15 AM
Sony WH-1000XM4,"Wednesday, June 28, 2023",10:22:40 AM
